GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1855,4169.16446,-0.054473547,0.095944375,-0.567761755,0.570196752,0.747053201
102466740,1.892368437,0.052992683,0.329933526,0.160616243,0.872395661,0.935382517
54587,940.7257905,0.247937293,0.15861734,1.563115945,0.118025326,0.286313892
54998,2223.038009,-0.071497445,0.123837436,-0.5773492,0.563703584,0.74255878
81669,5454.081105,0.076603194,0.101346416,0.755854992,0.449736142,0.653285984
148413,626.8346337,0.255601864,0.09097311,2.809641916,0.004959665,0.031792079
55052,1574.455517,-0.003926266,0.097044226,-0.040458523,0.967727573,0.984643848
107984868,91.97532358,-0.565074928,0.235585116,-2.39860199,0.016457793,0.074948077
441869,982.6304518,0.156922502,0.150731486,1.041073142,0.297841603,0.512261931
105378585,61.18908943,0.591248847,0.21057134,2.807831529,0.004987631,0.03186379
643965,219.4634231,2.765360492,0.409041705,6.760583238,1.37E-11,4.97E-09
102724312,307.7975258,0.784683747,0.351056413,2.235206983,0.025403763,0.101829544
107985729,7.522785014,0.941852216,0.300133757,3.138108241,0.001700421,0.014786944
64856,1864.389056,0.884002141,0.255095848,3.465372517,0.000529497,0.006255152
219293,248.8637931,-0.29773492,0.24289643,-1.225769022,0.220285608,0.425448633
83858,1017.887076,0.509347828,0.101802975,5.003270574,5.64E-07,3.52E-05
55210,728.7826139,0.184536245,0.089033833,2.072653034,0.038204582,0.135597002
339453,569.8882765,0.035267293,0.133630493,0.263916507,0.791844256,0.890033881
29101,3329.704348,-0.232316201,0.085671074,-2.711722755,0.006693455,0.039095336
643988,760.063101,0.236214259,0.162577433,1.452933866,0.146242117,0.328048762
105378586,85.46586851,0.447694316,0.155331622,2.882184007,0.00394929,0.027085509
142678,3672.105278,0.155385681,0.092749781,1.675321278,0.093871213,0.246205145
8510,137.5705598,-0.276341864,0.179131896,-1.54267258,0.122910238,0.294379999
984,1654.412599,0.003780049,0.08561753,0.044150408,0.964784512,0.983097881
728661,3746.797567,0.036973044,0.093424662,0.395752504,0.692287618,0.830417173
8511,36.18480205,-0.02813444,0.220184281,-0.127776788,0.89832562,0.948708466
728642,1189.231399,-0.17089323,0.136708705,-1.250053757,0.211279911,0.414415777
9906,2782.15862,-0.005420477,0.092405741,-0.058659522,0.9532233,0.976524386
112268218,186.7698358,-0.33289622,0.116221867,-2.864316584,0.004179101,0.028267543
65220,1161.674436,-0.036579057,0.058327238,-0.627135083,0.530570692,0.717854562
2782,20311.13397,0.106473015,0.08485052,1.254830444,0.209540318,0.412386114
105378949,42.18949961,0.148224052,0.16173497,0.916462607,0.359424311,0.573087126
163688,47.28898532,0.453267057,0.173663431,2.610031678,0.009053384,0.04857461
339456,30.98063833,0.375244069,0.188559217,1.990059537,0.046584377,0.154880352
85452,229.418584,0.452228659,0.164376272,2.751179676,0.005938106,0.035969582
107984872,18.87446248,0.319445122,0.213004846,1.499708236,0.133689996,0.310232649
105378589,104.3385361,0.292788541,0.20979708,1.395579675,0.162841107,0.351628469
2563,3536.854862,0.640791136,0.191543849,3.345401785,0.000821635,0.00871667
105378590,0.733402852,-0.777308658,0.822049178,-0.945574399,0.344365707,0.557818857
105378591,0.096482152,0.240829695,2.754848114,0.087420317,0.930337421,NA
5590,4857.025659,0.134249405,0.102012794,1.316005558,0.188172177,0.386208014
100506504,170.9003902,0.433831709,0.198058624,2.190420698,0.02849374,0.110597062
199990,2270.604567,-0.140370789,0.1163144,-1.206822108,0.22750066,0.434443044
112268219,83.33146888,0.23954825,0.120341243,1.990574843,0.046527648,0.154809727
105378593,15.93974055,0.397632689,0.226712761,1.753905198,0.079446753,0.220851797
6497,2913.089998,0.198755885,0.15723142,1.264097753,0.206194943,0.408545312
79906,261.9996058,0.426295629,0.160041366,2.663659024,0.007729587,0.043540186
100129534,144.8299047,0.198970385,0.179621649,1.107719396,0.26798302,0.48075813
11079,2686.337097,-0.005661473,0.055552366,-0.101912369,0.918826232,0.959500145
5192,1052.233219,0.034999472,0.075590203,0.463015989,0.643352907,0.798723016
9651,2495.321756,0.182903125,0.158078993,1.157036244,0.247257553,0.457309075
55229,993.9717238,-0.170567476,0.081941221,-2.081583289,0.037380549,0.133604353
388585,93.60919279,0.051830422,0.21164485,0.244893375,0.806538991,0.898638823
115110,91.1531296,0.001330806,0.156753167,0.00848982,0.993226185,0.996908604
8764,743.7106442,-0.064718985,0.13638576,-0.474528901,0.635122794,0.792803084
100996583,8.517135362,-0.827115139,0.279343808,-2.96092169,0.003067199,0.022559617
127281,2031.475152,0.091596221,0.10820274,0.846524048,0.397260464,0.609148823
79258,392.204609,-0.076244616,0.116878776,-0.652339272,0.514182331,0.704401277
105378597,10.59432952,-0.463445523,0.267254658,-1.734097085,0.082900859,0.226619933
100287898,83.53975762,0.31153278,0.202199212,1.54072203,0.123384453,0.29515151
105378603,0.221611244,0.597663459,1.198595082,0.498636669,0.618035368,NA
105378602,0.735689838,1.276189887,0.753495461,1.693692866,0.090323661,0.239823782
105378601,1.370363266,1.262982187,0.691515647,1.826397121,0.067790465,0.199549069
112268220,3.150008918,1.857908222,0.636274439,2.919979348,0.003500546,0.024769267
107985732,1.81562603,1.963435763,0.721095997,2.722849343,0.006472157,0.038169644
105378600,3.455800521,1.129554434,0.552514605,2.04438837,0.040915195,0.142103343
105378598,42.93593848,0.384879598,0.419131407,0.918279067,0.358472783,0.572170469
107984904,3.053999737,2.250501434,0.635187094,3.543052836,0.000395523,0.005043048
105378599,2.716401797,1.613214557,0.63482858,2.541181364,0.01104786,0.055945748
140625,0.069021059,0.086903917,2.912564301,0.029837596,0.976196575,NA
440556,893.5057888,0.142547877,0.231534215,0.615666573,0.538114603,0.723454607
63976,650.8878004,-0.302104127,0.200866915,-1.504001428,0.132580999,0.3084724
100422968,0.031831717,0.172282584,3.225584499,0.053411276,0.957404221,NA
